	n	dtp	twp	score
690	9	0.5	0.05	-89385951.8275
680	9	0.45	0.05	-89387732.6994
670	9	0.4	0.05	-89389694.9698
660	9	0.35	0.05	-89391599.8124
650	9	0.3	0.05	-89393755.3592
640	9	0.25	0.05	-89395664.2387
630	9	0.2	0.05	-89397598.6077
620	9	0.15	0.05	-89399659.7331
610	9	0.1	0.05	-89401783.5858
600	9	0.05	0.05	-89404284.8812
691	9	0.5	0.1	-89435273.815
681	9	0.45	0.1	-89436316.0563
671	9	0.4	0.1	-89437415.8411
661	9	0.35	0.1	-89438382.9076
651	9	0.3	0.1	-89439398.1893
641	9	0.25	0.1	-89440409.4679
631	9	0.2	0.1	-89441487.0453
621	9	0.15	0.1	-89442574.6566
611	9	0.1	0.1	-89443688.5323
601	9	0.05	0.1	-89445205.7397
692	9	0.5	0.15	-89471123.1053
682	9	0.45	0.15	-89471839.3767
672	9	0.4	0.15	-89472489.9825
662	9	0.35	0.15	-89473036.3712
652	9	0.3	0.15	-89473609.6162
642	9	0.25	0.15	-89474110.8941
632	9	0.2	0.15	-89474653.3197
622	9	0.15	0.15	-89475130.4685
612	9	0.1	0.15	-89475683.3539
602	9	0.05	0.15	-89476516.2933
693	9	0.5	0.2	-89502368.4559
683	9	0.45	0.2	-89502781.6501
673	9	0.4	0.2	-89503135.3026
663	9	0.35	0.2	-89503456.9894
653	9	0.3	0.2	-89503786.045
643	9	0.25	0.2	-89504061.9792
633	9	0.2	0.2	-89504342.4813
623	9	0.15	0.2	-89504670.7648
613	9	0.1	0.2	-89505016.0168
603	9	0.05	0.2	-89505664.4525
1240	11	0.05	0.5	-89518655.2114
1250	11	0.1	0.5	-89519171.3702
1260	11	0.15	0.5	-89519894.7855
1270	11	0.2	0.5	-89520677.3721
1280	11	0.25	0.5	-89521455.002
1290	11	0.3	0.5	-89522251.7139
1300	11	0.35	0.5	-89523026.2097
1310	11	0.4	0.5	-89523791.8079
1320	11	0.45	0.5	-89524543.4808
1330	11	0.5	0.5	-89525278.7675
1340	11	0.55	0.5	-89526000.0364
1350	11	0.6	0.5	-89526711.2204
1360	11	0.65	0.5	-89527414.8502
1370	11	0.7	0.5	-89528112.3532
1380	11	0.75	0.5	-89528804.5571
1390	11	0.8	0.5	-89529492.0963
1400	11	0.85	0.5	-89530175.3927
1410	11	0.9	0.5	-89530854.7961
694	9	0.5	0.25	-89544749.2039
684	9	0.45	0.25	-89544881.7283
674	9	0.4	0.25	-89544965.7361
664	9	0.35	0.25	-89545026.2001
654	9	0.3	0.25	-89545099.7447
644	9	0.25	0.25	-89545122.4946
634	9	0.2	0.25	-89545157.7268
624	9	0.15	0.25	-89545232.0359
614	9	0.1	0.25	-89545378.3158
604	9	0.05	0.25	-89545779.8924
1241	11	0.05	0.55	-89576825.9027
1251	11	0.1	0.55	-89577345.7653
1261	11	0.15	0.55	-89578073.2914
1271	11	0.2	0.55	-89578863.2433
1281	11	0.25	0.55	-89579647.1462
1291	11	0.3	0.55	-89580451.3595
1301	11	0.35	0.55	-89581231.6874
1311	11	0.4	0.55	-89582001.9175
1321	11	0.45	0.55	-89582758.4965
1331	11	0.5	0.55	-89583498.5087
1341	11	0.55	0.55	-89584224.3531
1351	11	0.6	0.55	-89584939.9302
1361	11	0.65	0.55	-89585647.7829
1371	11	0.7	0.55	-89586349.3734
1381	11	0.75	0.55	-89587045.5564
1391	11	0.8	0.55	-89587736.9593
1401	11	0.85	0.55	-89588424.0284
1411	11	0.9	0.55	-89589107.1151
615	9	0.1	0.3	-89600996.5783
625	9	0.15	0.3	-89601043.0984
635	9	0.2	0.3	-89601162.1403
605	9	0.05	0.3	-89601228.6426
645	9	0.25	0.3	-89601314.8849
655	9	0.3	0.3	-89601456.0396
665	9	0.35	0.3	-89601548.044
675	9	0.4	0.3	-89601651.6024
685	9	0.45	0.3	-89601756.5749
695	9	0.5	0.3	-89601820.4937
1242	11	0.05	0.6	-89634589.8574
1252	11	0.1	0.6	-89635106.8217
1262	11	0.15	0.6	-89635837.1951
1272	11	0.2	0.6	-89636628.1925
1282	11	0.25	0.6	-89637419.6698
1292	11	0.3	0.6	-89638228.767
1302	11	0.35	0.6	-89639016.4768
500	8	0.05	0.05	-89639562.7217
1312	11	0.4	0.6	-89639791.6345
510	8	0.1	0.05	-89640355.4047
1322	11	0.45	0.6	-89640552.5868
1332	11	0.5	0.6	-89641297.1615
520	8	0.15	0.05	-89641474.6388
1342	11	0.55	0.6	-89642027.4256
1352	11	0.6	0.6	-89642747.2375
530	8	0.2	0.05	-89642871.3965
1362	11	0.65	0.6	-89643459.2013
1372	11	0.7	0.6	-89644164.769
540	8	0.25	0.05	-89644530.7178
1382	11	0.75	0.6	-89644864.8221
1392	11	0.8	0.6	-89645559.9993
1402	11	0.85	0.6	-89646250.7528
550	8	0.3	0.05	-89646538.848
1412	11	0.9	0.6	-89646937.4475
590	8	0.5	0.05	-89647884.6064
560	8	0.35	0.05	-89648990.6938
521	8	0.15	0.1	-89650046.328
531	8	0.2	0.1	-89650079.2513
511	8	0.1	0.1	-89650111.0006
541	8	0.25	0.1	-89650154.8057
551	8	0.3	0.1	-89650216.4521
561	8	0.35	0.1	-89650234.1968
591	8	0.5	0.1	-89650286.4698
571	8	0.4	0.1	-89650292.8028
581	8	0.45	0.1	-89650305.2772
501	8	0.05	0.1	-89650399.0237
570	8	0.4	0.05	-89651662.2406
580	8	0.45	0.05	-89653147.1766
616	9	0.1	0.35	-89663058.6479
606	9	0.05	0.35	-89663149.1656
626	9	0.15	0.35	-89663251.0615
636	9	0.2	0.35	-89663506.0406
646	9	0.25	0.35	-89663798.6875
656	9	0.3	0.35	-89664074.3158
666	9	0.35	0.35	-89664337.3457
676	9	0.4	0.35	-89664624.1174
686	9	0.45	0.35	-89664901.5435
696	9	0.5	0.35	-89665138.3961
512	8	0.1	0.15	-89683307.1151
522	8	0.15	0.15	-89683353.5671
502	8	0.05	0.15	-89683489.2116
532	8	0.2	0.15	-89683493.6987
542	8	0.25	0.15	-89683640.4828
552	8	0.3	0.15	-89683788.2867
562	8	0.35	0.15	-89683944.6824
572	8	0.4	0.15	-89684094.3922
582	8	0.45	0.15	-89684222.3426
592	8	0.5	0.15	-89684342.3332
1243	11	0.05	0.65	-89691885.5587
1253	11	0.1	0.65	-89692420.2472
1263	11	0.15	0.65	-89693158.5156
1273	11	0.2	0.65	-89693953.8887
1283	11	0.25	0.65	-89694750.2851
1293	11	0.3	0.65	-89695565.874
1303	11	0.35	0.65	-89696358.7353
1313	11	0.4	0.65	-89697137.3673
1323	11	0.45	0.65	-89697902.6021
1333	11	0.5	0.65	-89698651.5866
1343	11	0.55	0.65	-89699386.1087
1353	11	0.6	0.65	-89700110.0438
1363	11	0.65	0.65	-89700825.9957
1373	11	0.7	0.65	-89701535.4499
1383	11	0.75	0.65	-89702239.3154
1393	11	0.8	0.65	-89702938.2202
1403	11	0.85	0.65	-89703632.625
1413	11	0.9	0.65	-89704322.8905
513	8	0.1	0.2	-89724285.3928
503	8	0.05	0.2	-89724398.0363
523	8	0.15	0.2	-89724404.6763
533	8	0.2	0.2	-89724594.5681
543	8	0.25	0.2	-89724793.2442
553	8	0.3	0.2	-89724990.2668
563	8	0.35	0.2	-89725191.9336
573	8	0.4	0.2	-89725377.083
583	8	0.45	0.2	-89725540.964
593	8	0.5	0.2	-89725688.7148
607	9	0.05	0.4	-89727918.964
617	9	0.1	0.4	-89728001.551
627	9	0.15	0.4	-89728243.1494
637	9	0.2	0.4	-89728581.7654
647	9	0.25	0.4	-89728946.2503
657	9	0.3	0.4	-89729286.0491
667	9	0.35	0.4	-89729602.1647
677	9	0.4	0.4	-89729937.283
687	9	0.45	0.4	-89730273.1318
697	9	0.5	0.4	-89730581.737
1244	11	0.05	0.7	-89748741.8167
1254	11	0.1	0.7	-89749277.3467
1264	11	0.15	0.7	-89750021.0908
1274	11	0.2	0.7	-89750822.0711
1284	11	0.25	0.7	-89751622.7436
1294	11	0.3	0.7	-89752444.3296
1304	11	0.35	0.7	-89753243.3431
1314	11	0.4	0.7	-89754026.1456
1324	11	0.45	0.7	-89754795.6723
1334	11	0.5	0.7	-89755549.0036
1344	11	0.55	0.7	-89756287.7631
1354	11	0.6	0.7	-89757015.7847
1364	11	0.65	0.7	-89757735.7286
1374	11	0.7	0.7	-89758449.0973
1384	11	0.75	0.7	-89759156.776
1394	11	0.8	0.7	-89759859.4276
1404	11	0.85	0.7	-89760557.5143
1414	11	0.9	0.7	-89761251.4047
514	8	0.1	0.25	-89769575.9965
504	8	0.05	0.25	-89769671.1061
524	8	0.15	0.25	-89769709.1306
534	8	0.2	0.25	-89769904.5269
544	8	0.25	0.25	-89770123.6393
554	8	0.3	0.25	-89770353.4865
564	8	0.35	0.25	-89770584.2769
574	8	0.4	0.25	-89770809.5384
584	8	0.45	0.25	-89771017.0307
594	8	0.5	0.25	-89771215.1853
608	9	0.05	0.45	-89790592.6897
618	9	0.1	0.45	-89790626.0646
628	9	0.15	0.45	-89790903.0118
638	9	0.2	0.45	-89791276.0976
648	9	0.25	0.45	-89791646.6317
658	9	0.3	0.45	-89792002.8605
668	9	0.35	0.45	-89792348.1336
678	9	0.4	0.45	-89792724.0895
688	9	0.45	0.45	-89793093.4859
698	9	0.5	0.45	-89793441.2578
1245	11	0.05	0.75	-89805133.6139
1255	11	0.1	0.75	-89805671.6993
1265	11	0.15	0.75	-89806423.2178
1275	11	0.2	0.75	-89807228.7045
1285	11	0.25	0.75	-89808033.8076
1295	11	0.3	0.75	-89808862.5776
1305	11	0.35	0.75	-89809665.3341
1315	11	0.4	0.75	-89810452.7072
1325	11	0.45	0.75	-89811226.4744
1335	11	0.5	0.75	-89811984.1903
410	7	0.1	0.05	-89812275.6912
400	7	0.05	0.05	-89812277.4113
420	7	0.15	0.05	-89812511.7068
1345	11	0.55	0.75	-89812727.1904
430	7	0.2	0.05	-89812831.9221
440	7	0.25	0.05	-89813184.6922
1355	11	0.6	0.75	-89813459.3664
450	7	0.3	0.05	-89813542.9641
460	7	0.35	0.05	-89813910.5752
1365	11	0.65	0.75	-89814183.3545
470	7	0.4	0.05	-89814284.4192
480	7	0.45	0.05	-89814672.0696
1375	11	0.7	0.75	-89814900.686
490	7	0.5	0.05	-89815052.6339
1385	11	0.75	0.75	-89815612.2524
1395	11	0.8	0.75	-89816318.7346
515	8	0.1	0.3	-89816867.7814
505	8	0.05	0.3	-89816899.0893
1405	11	0.85	0.75	-89817020.5827
525	8	0.15	0.3	-89817065.9659
535	8	0.2	0.3	-89817332.0248
545	8	0.25	0.3	-89817635.6157
1415	11	0.9	0.75	-89817718.1768
555	8	0.3	0.3	-89817930.8497
565	8	0.35	0.3	-89818235.603
575	8	0.4	0.3	-89818536.4106
585	8	0.45	0.3	-89818824.0523
595	8	0.5	0.3	-89819103.2498
401	7	0.05	0.1	-89829863.5842
411	7	0.1	0.1	-89829898.9273
421	7	0.15	0.1	-89830176.1562
431	7	0.2	0.1	-89830527.6765
441	7	0.25	0.1	-89830907.717
451	7	0.3	0.1	-89831298.1419
461	7	0.35	0.1	-89831687.6834
471	7	0.4	0.1	-89832069.4414
481	7	0.45	0.1	-89832458.6179
491	7	0.5	0.1	-89832846.3016
880	9	0.05	0.5	-89850575.3173
609	9	0.05	0.5	-89850575.3173
619	9	0.1	0.5	-89850636.2371
890	9	0.1	0.5	-89850636.2371
900	9	0.15	0.5	-89850948.1283
629	9	0.15	0.5	-89850948.1283
639	9	0.2	0.5	-89851318.8705
910	9	0.2	0.5	-89851318.8705
920	9	0.25	0.5	-89851726.2286
649	9	0.25	0.5	-89851726.2286
659	9	0.3	0.5	-89852129.4746
930	9	0.3	0.5	-89852129.4746
669	9	0.35	0.5	-89852519.5756
940	9	0.35	0.5	-89852519.5756
679	9	0.4	0.5	-89852936.9419
950	9	0.4	0.5	-89852936.9419
960	9	0.45	0.5	-89853345.5786
689	9	0.45	0.5	-89853345.5786
970	9	0.5	0.5	-89853736.4211
699	9	0.5	0.5	-89853736.4211
980	9	0.55	0.5	-89854113.7931
990	9	0.6	0.5	-89854480.3961
1000	9	0.65	0.5	-89854838.1949
1010	9	0.7	0.5	-89855188.3192
1020	9	0.75	0.5	-89855531.6238
1030	9	0.8	0.5	-89855868.7888
1040	9	0.85	0.5	-89856200.3702
1050	9	0.9	0.5	-89856526.9615
402	7	0.05	0.15	-89860851.9739
412	7	0.1	0.15	-89860914.131
1246	11	0.05	0.8	-89861057.2753
422	7	0.15	0.15	-89861199.5718
432	7	0.2	0.15	-89861560.9098
1256	11	0.1	0.8	-89861606.0644
442	7	0.25	0.15	-89861952.5869
452	7	0.3	0.15	-89862354.7012
1266	11	0.15	0.8	-89862363.9288
462	7	0.35	0.15	-89862760.6898
472	7	0.4	0.15	-89863161.0709
1276	11	0.2	0.8	-89863173.0932
482	7	0.45	0.15	-89863560.6073
492	7	0.5	0.15	-89863959.8723
1286	11	0.25	0.8	-89863984.5403
1296	11	0.3	0.8	-89864816.869
506	8	0.05	0.35	-89865128.0869
516	8	0.1	0.35	-89865167.5237
526	8	0.15	0.35	-89865407.0864
1306	11	0.35	0.8	-89865624.6215
536	8	0.2	0.35	-89865712.4514
546	8	0.25	0.35	-89866056.0408
556	8	0.3	0.35	-89866389.0568
1316	11	0.4	0.8	-89866417.1367
566	8	0.35	0.35	-89866733.9677
576	8	0.4	0.35	-89867074.2197
1326	11	0.45	0.8	-89867195.3205
586	8	0.45	0.35	-89867399.3597
596	8	0.5	0.35	-89867716.2333
1336	11	0.5	0.8	-89867957.4397
1346	11	0.55	0.8	-89868704.7308
1356	11	0.6	0.8	-89869441.1122
1366	11	0.65	0.8	-89870169.2227
1376	11	0.7	0.8	-89870890.5872
1386	11	0.75	0.8	-89871606.1307
1396	11	0.8	0.8	-89872316.517
1406	11	0.85	0.8	-89873022.2159
1416	11	0.9	0.8	-89873723.5932
403	7	0.05	0.2	-89897861.3947
413	7	0.1	0.2	-89897937.417
423	7	0.15	0.2	-89898231.1381
433	7	0.2	0.2	-89898604.1025
443	7	0.25	0.2	-89899004.922
453	7	0.3	0.2	-89899415.3168
463	7	0.35	0.2	-89899831.9424
473	7	0.4	0.2	-89900245.1369
483	7	0.45	0.2	-89900654.9348
493	7	0.5	0.2	-89901064.1054
881	9	0.05	0.55	-89909709.3617
891	9	0.1	0.55	-89909852.3575
901	9	0.15	0.55	-89910215.203
911	9	0.2	0.55	-89910630.9478
921	9	0.25	0.55	-89911068.5026
931	9	0.3	0.55	-89911494.9155
941	9	0.35	0.55	-89911938.5952
951	9	0.4	0.55	-89912397.4775
961	9	0.45	0.55	-89912849.4704
507	8	0.05	0.4	-89913242.9658
517	8	0.1	0.4	-89913273.7761
971	9	0.5	0.55	-89913291.0581
527	8	0.15	0.4	-89913554.8126
981	9	0.55	0.55	-89913722.9924
537	8	0.2	0.4	-89913871.5886
991	9	0.6	0.55	-89914146.8217
547	8	0.25	0.4	-89914235.2151
1001	9	0.65	0.55	-89914564.0587
557	8	0.3	0.4	-89914587.8866
567	8	0.35	0.4	-89914950.436
1011	9	0.7	0.55	-89914975.7483
577	8	0.4	0.4	-89915310.1185
1021	9	0.75	0.55	-89915382.6633
587	8	0.45	0.4	-89915654.9366
1031	9	0.8	0.55	-89915785.5171
597	8	0.5	0.4	-89915991.6538
1041	9	0.85	0.55	-89916184.7976
1247	11	0.05	0.85	-89916527.9583
1051	9	0.9	0.55	-89916581.0428
1257	11	0.1	0.85	-89917085.2643
1267	11	0.15	0.85	-89917847.8371
1277	11	0.2	0.85	-89918662.3114
1287	11	0.25	0.85	-89919476.7163
1297	11	0.3	0.85	-89920314.443
1307	11	0.35	0.85	-89921126.623
1317	11	0.4	0.85	-89921924.0603
1327	11	0.45	0.85	-89922706.7791
1337	11	0.5	0.85	-89923473.398
1347	11	0.55	0.85	-89924225.055
1357	11	0.6	0.85	-89924965.6898
1367	11	0.65	0.85	-89925697.9837
1377	11	0.7	0.85	-89926423.4627
1387	11	0.75	0.85	-89927143.0388
1397	11	0.8	0.85	-89927857.3883
1407	11	0.85	0.85	-89928566.9961
1417	11	0.9	0.85	-89929272.2429
404	7	0.05	0.25	-89934900.1889
414	7	0.1	0.25	-89934992.3608
424	7	0.15	0.25	-89935290.1568
434	7	0.2	0.25	-89935670.4652
444	7	0.25	0.25	-89936079.7161
454	7	0.3	0.25	-89936498.3185
464	7	0.35	0.25	-89936920.9294
474	7	0.4	0.25	-89937342.8874
484	7	0.45	0.25	-89937760.3593
494	7	0.5	0.25	-89938176.1425
508	8	0.05	0.45	-89960846.3099
518	8	0.1	0.45	-89960900.6752
528	8	0.15	0.45	-89961170.5526
538	8	0.2	0.45	-89961533.4589
548	8	0.25	0.45	-89961908.6061
558	8	0.3	0.45	-89962278.0486
568	8	0.35	0.45	-89962658.0369
578	8	0.4	0.45	-89963031.5714
588	8	0.45	0.45	-89963394.1507
598	8	0.5	0.45	-89963749.0955
1248	11	0.05	0.9	-89971547.2542
1258	11	0.1	0.9	-89972112.9265
1268	11	0.15	0.9	-89972879.0525
1278	11	0.2	0.9	-89973700.383
882	9	0.05	0.6	-89974100.9123
405	7	0.05	0.3	-89974422.1767
415	7	0.1	0.3	-89974517.2314
1288	11	0.25	0.9	-89974520.7521
892	9	0.1	0.6	-89974619.696
425	7	0.15	0.3	-89974831.5537
435	7	0.2	0.3	-89975213.8927
902	9	0.15	0.6	-89975231.0344
1298	11	0.3	0.9	-89975363.6465
445	7	0.25	0.3	-89975631.5507
912	9	0.2	0.6	-89975879.7972
455	7	0.3	0.3	-89976055.9877
1308	11	0.35	0.9	-89976180.2152
465	7	0.35	0.3	-89976484.9574
922	9	0.25	0.6	-89976560.6239
475	7	0.4	0.3	-89976912.8808
1318	11	0.4	0.9	-89976981.3624
932	9	0.3	0.6	-89977221.6387
485	7	0.45	0.3	-89977336.2755
495	7	0.5	0.3	-89977757.6574
1328	11	0.45	0.9	-89977768.9195
942	9	0.35	0.6	-89977869.5369
1338	11	0.5	0.9	-89978540.1492
952	9	0.4	0.6	-89978543.3475
962	9	0.45	0.6	-89979228.3879
1348	11	0.55	0.9	-89979296.2373
972	9	0.5	0.6	-89979917.1303
1358	11	0.6	0.9	-89980041.2106
982	9	0.55	0.6	-89980598.2805
1368	11	0.65	0.9	-89980777.7519
992	9	0.6	0.6	-89981265.119
1378	11	0.7	0.9	-89981507.3832
1002	9	0.65	0.6	-89981917.1458
1388	11	0.75	0.9	-89982231.0475
1012	9	0.7	0.6	-89982555.5647
1398	11	0.8	0.9	-89982949.424
1022	9	0.75	0.6	-89983181.709
1408	11	0.85	0.9	-89983662.9926
1032	9	0.8	0.6	-89983796.4725
1418	11	0.9	0.9	-89984372.1472
1042	9	0.85	0.6	-89984400.9037
1052	9	0.9	0.6	-89984995.9082
700	8	0.05	0.5	-90007915.8565
509	8	0.05	0.5	-90007915.8565
